"Date","Price","Open","High","Low","Change %"
"01/13/2020","105.828","105.828","105.828","105.828","-1.09%"
"01/12/2020","106.996","106.996","106.996","106.996","-0.09%"
"01/10/2020","107.095","107.095","107.095","107.095","1.10%"
"01/09/2020","105.926","105.926","105.926","105.926","0.99%"
"01/08/2020","104.890","104.890","104.890","104.890","-1.11%"
"01/07/2020","106.067","106.067","106.067","106.067","-0.16%"
"01/06/2020","106.241","106.241","106.241","106.241","-0.68%"
"01/05/2020","106.964","107.134","107.166","106.964","0.14%"
"01/03/2020","106.811","106.811","106.811","106.811","0.67%"
"01/02/2020","106.100","106.100","106.100","106.100","0.86%"
"01/01/2020","105.196","105.196","105.196","105.196","0.19%"
"12/31/2019","104.998","104.998","104.998","104.998","-0.83%"
"12/30/2019","105.876","105.876","105.876","105.876","-0.12%"
"12/29/2019","106.003","106.120","106.120","106.003","-0.24%"
"12/27/2019","106.260","106.260","106.260","106.260","-0.55%"
"12/26/2019","106.851","106.851","106.851","106.851","0.37%"
"12/25/2019","106.461","106.461","106.461","106.461","-0.17%"
"12/24/2019","106.640","106.640","106.640","106.640","0.37%"
"12/23/2019","106.249","106.249","106.249","106.249","-0.29%"
"12/22/2019","106.558","106.476","106.575","106.476","0.12%"
"12/20/2019","106.434","106.434","106.434","106.434","-0.04%"
"12/19/2019","106.472","106.472","106.472","106.472","0.21%"
"12/18/2019","106.250","106.250","106.250","106.250","-0.81%"
"12/17/2019","107.119","107.119","107.119","107.119","-0.20%"
"12/16/2019","107.336","107.336","107.336","107.336","0.80%"
"12/15/2019","106.486","106.559","106.581","106.482","-0.22%"
"12/13/2019","106.723","106.723","106.723","106.723","1.05%"
"12/12/2019","105.613","105.613","105.613","105.613","-0.81%"
"12/11/2019","106.479","106.479","106.479","106.479","0.00%"
"12/10/2019","106.477","106.477","106.477","106.477","0.67%"
"12/09/2019","105.765","105.765","105.765","105.765","0.42%"
"12/08/2019","105.325","105.334","105.383","105.311","0.04%"
"12/06/2019","105.280","105.280","105.280","105.280","-0.51%"
"12/05/2019","105.824","105.824","105.824","105.824","0.59%"
"12/04/2019","105.205","105.205","105.205","105.205","-1.11%"
"12/03/2019","106.382","104.400","106.606","104.021","1.87%"
"12/02/2019","104.427","104.427","104.427","104.427","-0.39%"
"12/01/2019","104.834","104.888","104.888","104.834","-0.62%"
"11/29/2019","105.486","105.486","105.486","105.486","-0.02%"
"11/28/2019","105.509","105.509","105.509","105.509","-0.21%"
"11/27/2019","105.729","105.729","105.729","105.729","-0.23%"
"11/26/2019","105.978","105.978","105.978","105.978","0.60%"
"11/25/2019","105.351","105.351","105.351","105.351","0.50%"
"11/24/2019","104.828","104.850","104.850","104.820","-0.81%"
"11/22/2019","105.688","105.688","105.688","105.688","0.21%"
"11/21/2019","105.464","105.464","105.464","105.464","-0.43%"
"11/20/2019","105.916","105.916","105.916","105.916","0.68%"
"11/19/2019","105.197","105.197","105.197","105.197","0.74%"
"11/18/2019","104.428","104.428","104.428","104.428","0.65%"
"11/17/2019","103.754","103.697","103.803","103.697","-0.99%"
"11/15/2019","104.790","104.790","104.790","104.790","-0.51%"
"11/14/2019","105.332","105.332","105.332","105.332","1.16%"
"11/13/2019","104.129","104.129","104.129","104.129","0.80%"
"11/12/2019","103.307","103.307","103.307","103.307","-0.21%"
"11/11/2019","103.528","103.528","103.528","103.528","0.28%"
"11/10/2019","103.236","103.236","103.236","103.236","0.18%"
"11/08/2019","103.052","103.052","103.052","103.052","-0.22%"
"11/07/2019","103.283","103.283","103.283","103.283","-0.33%"
"11/06/2019","103.628","103.628","103.628","103.628","0.21%"
"11/05/2019","103.412","103.412","103.412","103.412","-0.68%"
"11/04/2019","104.116","104.116","104.116","104.116","-1.17%"
"11/03/2019","105.350","105.350","105.350","105.350","-0.30%"
"11/01/2019","105.668","105.668","105.668","105.668","-0.37%"
"10/31/2019","106.060","106.060","106.060","106.060","1.23%"
"10/30/2019","104.768","104.768","104.768","104.768","0.83%"
"10/29/2019","103.903","103.903","103.903","103.903","-0.50%"
"10/28/2019","104.424","104.424","104.424","104.424","0.00%"
"10/27/2019","104.426","104.402","104.426","104.402","-0.08%"
"10/25/2019","104.513","104.513","104.513","104.513","-0.82%"
"10/24/2019","105.372","105.372","105.372","105.372","0.64%"
"10/23/2019","104.698","104.698","104.698","104.698","-0.27%"
"10/22/2019","104.982","104.982","104.982","104.982","0.54%"
"10/21/2019","104.417","104.417","104.417","104.417","-0.77%"
"10/20/2019","105.222","105.230","105.275","105.222","0.04%"
"10/18/2019","105.178","105.178","105.178","105.178","-0.44%"
"10/17/2019","105.639","105.639","105.639","105.639","0.31%"
"10/16/2019","105.314","105.314","105.314","105.314","-0.18%"
"10/15/2019","105.499","105.499","105.499","105.499","-0.55%"
"10/14/2019","106.083","106.083","106.083","106.083","0.66%"
"10/13/2019","105.385","105.385","105.385","105.385","-0.30%"
"10/11/2019","105.702","105.702","105.702","105.702","0.93%"
"10/10/2019","104.729","104.729","104.729","104.729","-1.86%"
"10/09/2019","106.713","106.713","106.713","106.713","-0.24%"
"10/08/2019","106.974","106.974","106.974","106.974","4.01%"
"10/07/2019","102.851","102.851","102.851","102.851","-4.26%"
"10/06/2019","107.433","107.305","107.433","107.305","0.13%"
"10/04/2019","107.290","107.290","107.290","107.290","0.72%"
"10/03/2019","106.519","106.519","106.519","106.519","0.53%"
"10/02/2019","105.958","105.958","105.958","105.958","0.02%"
"10/01/2019","105.932","105.932","105.932","105.932","0.06%"
"09/30/2019","105.873","105.873","105.873","105.873","0.23%"
"09/29/2019","105.634","105.592","105.634","105.544","0.06%"
"09/27/2019","105.572","105.572","105.572","105.572","0.24%"
